citation,processed_text
Genesis 14:7,returned came enmishpat kadesh smote country amalekites also amorites dwelt hazezontamar
Genesis 14:8,went king sodom king gomorrah king admah king zeboiim king bela zoar joined battle vale siddim
Genesis 14:9,chedorlaomer king elam tidal king nations amraphel king shinar arioch king ellasar four kings five
Genesis 14:10,vale siddim full slime pits kings sodom gomorrah fled fell remained fled mountain
Genesis 14:11,took goods sodom gomorrah victuals went way
Genesis 14:12,took lot abram brother son dwelt sodom goods departed
Genesis 14:13,came one escaped told abram hebrew dwelt plain mamre amorite brother eshcol brother aner confederate abram
Genesis 14:14,abram heard brother taken captive armed trained servants born house three hundred eighteen pursued unto dan
Genesis 14:15,divided servants night smote pursued unto hobah left hand damascus
Genesis 14:16,brought back goods also brought brother lot goods women also people
Genesis 14:17,king sodom went meet return slaughter chedorlaomer kings valley shaveh king dale
Genesis 14:18,melchizedek king salem brought forth bread wine priest high god
Genesis 14:19,blessed said blessed abram high god possessor heaven earth
Genesis 14:20,blessed high god hath delivered thine enemies thy hand gave tithes
Genesis 14:21,king sodom said unto abram give persons take goods thyself
Genesis 14:22,abram said king sodom lift mine hand unto lord high god possessor heaven earth
Genesis 14:23,take thread even shoelatchet take thing thine lest thou shouldest say made abram rich
Genesis 14:24,save young men eaten portion men went aner eshcol mamre let take portion
Genesis 15:1,things word lord came unto abram vision saying fear abram thy shield thy exceeding great reward
Genesis 15:2,abram said lord god wilt thou give seeing go childless steward house eliezer damascus
Genesis 15:3,abram said behold thou hast given seed lo one born house mine heir
Genesis 15:4,behold word lord came unto saying shall thine heir shall come forth thine bowels shall thine heir
Genesis 15:5,brought forth abroad said look toward heaven tell stars thou able number said unto shall thy seed
Genesis 15:6,believed lord counted righteousness
Genesis 15:7,said unto lord brought thee ur chaldees give thee land inherit
Genesis 15:8,said lord god whereby shall know shall inherit
Genesis 15:9,said unto take heifer three years old goat three years old ram three years old turtledove young pigeon
Genesis 15:10,took unto divided midst laid piece one another birds divided
Genesis 15:11,fowls came upon carcasses abram drove away
Genesis 15:12,sun going deep sleep fell upon abram lo horror great darkness fell upon
Genesis 15:13,said unto abram know surety thy seed shall stranger land shall serve shall afflict four hundred years
Genesis 15:14,also nation shall serve judge afterward shall come great substance
Genesis 15:15,thou shalt go thy fathers peace thou shalt buried good old age
Genesis 15:16,fourth generation shall come hither iniquity amorites yet full
Genesis 15:17,came pass sun went dark behold smoking furnace burning lamp passed pieces
Genesis 15:18,day lord made covenant abram saying unto thy seed given land river egypt unto great river river euphrates
Genesis 15:19,kenites kenizzites kadmonites
Genesis 15:20,hittites perizzites rephaim
Genesis 15:21,amorites canaanites girgashites jebusites
Genesis 16:1,sarai abram wife bare children handmaid egyptian whose name hagar
Genesis 16:2,sarai said unto abram behold lord hath restrained bearing pray thee go unto maid may may obtain children abram hearkened voice sarai
Genesis 16:3,sarai abram wife took hagar maid egyptian abram dwelt ten years land canaan gave husband abram wife
Genesis 16:4,went unto hagar conceived saw conceived mistress despised eyes
Genesis 16:5,sarai said unto abram wrong upon thee given maid thy bosom saw conceived despised eyes lord judge thee
Genesis 16:6,abram said unto sarai behold thy maid thine hand pleaseth thee sarai dealt hardly fled face
Genesis 16:7,angel lord found fountain water wilderness fountain way shur
Genesis 16:8,said hagar sarai maid whence camest thou whither wilt thou go said flee face mistress sarai
Genesis 16:9,angel lord said unto return thy mistress submit thyself hands
Genesis 16:10,angel lord said unto multiply thy seed exceedingly shall numbered multitude
Genesis 16:11,angel lord said unto behold thou art child shalt bear son shalt call name ishmael lord hath heard thy affliction
Genesis 16:12,wild man hand every man every man hand shall dwell presence brethren
Genesis 16:13,called name lord spake unto thou god seest said also looked seeth
Genesis 16:14,wherefore well called beerlahairoi behold kadesh bered
Genesis 16:15,hagar bare abram son abram called son name hagar bare ishmael
Genesis 16:16,abram fourscore six years old hagar bare ishmael abram
Genesis 17:1,abram ninety years old nine lord appeared abram said unto almighty god walk thou perfect
Genesis 17:2,make covenant thee multiply thee exceedingly
Genesis 17:3,abram fell face god talked saying
Genesis 17:4,behold covenant thee thou shalt father many nations
Genesis 17:5,neither shall thy name called abram thy name shall abraham father many nations made thee
Genesis 17:6,make thee exceeding fruitful make nations thee kings shall come thee
Genesis 17:7,establish covenant thee thy seed thee generations everlasting covenant god unto thee thy seed thee
Genesis 17:8,give unto thee thy seed thee land wherein thou art stranger land canaan everlasting possession god
Genesis 17:9,god said unto abraham thou shalt keep covenant therefore thou thy seed thee generations
Genesis 17:10,covenant ye shall keep thy seed thee every man child among shall circumcised
Genesis 17:11,ye shall circumcise flesh foreskin shall token covenant betwixt
Genesis 17:12,eight days old shall circumcised among every man child generations born house bought money stranger thy seed
Genesis 17:13,born thy house bought thy money must needs circumcised covenant shall flesh everlasting covenant
Genesis 17:14,uncircumcised man child whose flesh foreskin circumcised soul shall cut people hath broken covenant
Genesis 17:15,god said unto abraham sarai thy wife thou shalt call name sarai sarah shall name
Genesis 17:16,bless give thee son also yea bless shall mother nations kings people shall
Genesis 17:17,abraham fell upon face laughed said heart shall child born unto hundred years old shall sarah ninety years old bear
Genesis 17:18,abraham said unto god ishmael might live thee
Genesis 17:19,god said sarah thy wife shall bear thee son indeed thou shalt call name isaac establish covenant everlasting covenant seed
Genesis 17:20,ishmael heard thee behold blessed make fruitful multiply exceedingly twelve princes shall beget make great nation
Genesis 17:21,covenant establish isaac sarah shall bear unto thee set time next year
Genesis 17:22,left talking god went abraham
Genesis 17:23,abraham took ishmael son born house bought money every male among men abraham house circumcised flesh foreskin selfsame day god said unto
Genesis 17:24,abraham ninety years old nine circumcised flesh foreskin
